"","SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","EXT_SOURCE_2","EXT_SOURCE_3","FONDKAPREMONT_MODE","HOUSETYPE_MODE","WALLSMATERIAL_MODE","EMERGENCYSTATE_MODE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE","AMT_REQ_CREDIT_BUREAU_HOUR","AMT_REQ_CREDIT_BUREAU_DAY","AMT_REQ_CREDIT_BUREAU_WEEK","AMT_REQ_CREDIT_BUREAU_MON","AMT_REQ_CREDIT_BUREAU_QRT","AMT_REQ_CREDIT_BUREAU_YEAR","BASEMENTAREA_AVG","YEARS_BEGINEXPLUATATION_AVG","YEARS_BUILD_AVG","COMMONAREA_AVG","ELEVATORS_AVG","ENTRANCES_AVG","FLOORSMAX_AVG","FLOORSMIN_AVG","LANDAREA_AVG","LIVINGAPARTMENTS_AVG","LIVINGAREA_AVG","NONLIVINGAPARTMENTS_AVG","NONLIVINGAREA_AVG","APARTMENTS_MODE","BASEMENTAREA_MODE","YEARS_BUILD_MODE","YEARS_BEGINEXPLUATATION_MODE","COMMONAREA_MODE","ELEVATORS_MODE","FLOORSMIN_MODE","LIVINGAREA_MODE","APARTMENTS_MEDI","YEARS_BUILD_MEDI","ENTRANCES_MEDI","LANDAREA_MEDI","NONLIVINGAPARTMENTS_MEDI","NONLIVINGAREA_MEDI","FONDKAPREMONT_MODE.1","LIVINGAREA_MEDI","FLOORSMIN_MEDI","ELEVATORS_MEDI","YEARS_BEGINEXPLUATATION_MEDI","NONLIVINGAREA_MODE","LIVINGAPARTMENTS_MODE","FLOORSMAX_MODE","COMMONAREA_MODE.1","BASEMENTAREA_MODE.1","NONLIVINGAPARTMENTS_AVG.1","LANDAREA_AVG.1","ENTRANCES_AVG.1","YEARS_BUILD_AVG.1","APARTMENTS_AVG","EXT_SOURCE_1"
"229693",366039,0,"Cash loans","M","Y","Y",0,171000,810000,32121,810000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.025164,-19146,-9298,-7993,-2596,1,1,1,1,0,0,"Drivers",2,2,2,"MONDAY",14,0,0,0,0,0,0,"Business Entity Type 2",0.642977540492901,0.739411753552482,"reg oper account","block of flats","Stone, brick","No",5,1,5,0,-2480,0,0,0,0,0,0,0.07,0.9762,0.6736,0.0106,0,0.2069,0.1667,0.2083,0.0342,0.0941,0.0893,0.0347,0.0359,0.1271,0.0727,0.6864,0.9762,0.0107,0,0.2083,0.0931,0.126,0.678,0.2069,0.0347,0.0349,0.0366,"reg oper account",0.0909,0.2083,0,0.9762,0.038,0.1028,0.1667,0.0107,0.0727,0.0347,0.0342,0.2069,0.6736,0.1247,NA
"235214",372457,0,"Cash loans","F","N","Y",0,90000,343800,16852.5,225000,"Spouse, partner","Commercial associate","Secondary / secondary special","Married","House / apartment",0.032561,-20777,-534,-2564,-2562,1,1,0,1,0,0,"Medicine staff",2,1,1,"WEDNESDAY",15,0,0,0,0,0,0,"Medicine",0.619156801588274,0.283711882635001,"reg oper account","block of flats","Panel","No",0,0,0,0,-529,0,0,0,0,2,1,0.2864,0.9871,0.8232,0.0814,0.44,0.3793,0.3333,0.375,0.0055,0.3614,0.2597,0,0.0173,0.4517,0.2972,0.8301,0.9871,0.0822,0.4431,0.375,0.0962,0.4476,0.8256,0.3793,0.0056,0,0.0176,"reg oper account",0.2643,0.375,0.44,0.9871,0.0183,0.3949,0.3333,0.0822,0.2972,0,0.0055,0.3793,0.8232,0.4433,NA
"279911",424314,0,"Cash loans","M","N","N",1,108000,808650,26217,675000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.00712,-15558,-3678,-3547,-4161,1,1,0,1,0,0,"Core staff",3,2,2,"MONDAY",10,0,0,0,0,0,0,"Legal Services",0.542301761515254,NA,"","","","",0,0,0,0,-2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551147696045404
"211982",345653,0,"Revolving loans","F","Y","Y",0,90000,180000,9000,180000,"Unaccompanied","Working","Incomplete higher","Single / not married","House / apartment",0.022625,-7908,-889,-295,-592,1,1,0,1,0,0,"High skill tech staff",1,2,2,"TUESDAY",14,0,0,0,0,1,1,"Industry: type 3",0.378102216625526,NA,"","","","",2,1,2,0,-685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184706639647705
"122652",242197,0,"Cash loans","M","Y","Y",1,270000,1223010,51948,1125000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.035792,-11357,-262,-707,-3866,1,1,0,1,0,0,"",3,2,2,"FRIDAY",16,0,1,1,0,0,0,"Business Entity Type 3",0.265102940447203,0.636376171086044,"reg oper account","block of flats","Stone, brick","No",10,0,10,0,-3,0,0,0,0,0,1,0.0591,0.9757,0.66,0.0045,0,0.069,0.1667,0.0417,0.0247,0.0336,0.037,0,0,0.042,0.0613,0.6733,0.9757,0.0045,0,0.0417,0.0385,0.0416,0.6645,0.069,0.0252,0,0,"reg oper account",0.0377,0.0417,0,0.9757,0,0.0367,0.1667,0.0045,0.0613,0,0.0247,0.069,0.66,0.0412,NA
"275832",419620,1,"Cash loans","F","Y","N",1,135000,1024740,52452,9e+05,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","With parents",0.006852,-13664,-924,-5148,-2611,1,1,1,1,0,0,"Sales staff",3,3,3,"WEDNESDAY",16,0,0,0,0,0,0,"Trade: type 3",0.160688245625837,NA,"","","","",0,0,0,0,-2471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386672058152998
"269775",412657,0,"Cash loans","M","Y","Y",2,144000,942300,30528,675000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.035792,-15473,-2366,-8176,-4928,1,1,0,1,0,0,"Security staff",4,2,2,"TUESDAY",10,0,0,0,0,1,1,"Industry: type 9",0.741442271560981,0.661023539130808,"","","","",1,0,1,0,-1326,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547460276297475
"219252",353985,0,"Cash loans","M","Y","Y",0,270000,1012653,43033.5,931500,"Unaccompanied","Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",0.025164,-20205,-1138,-3258,-3711,1,1,0,1,1,0,"",2,2,2,"THURSDAY",15,0,0,0,0,0,0,"Construction",0.645038043698482,0.465069214956226,"","","","",0,0,0,0,-1148,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217629",352160,0,"Cash loans","F","N","Y",2,135000,392427,31135.5,324000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.02461,-13453,-1599,-7245,-80,1,1,0,1,0,0,"Low-skill Laborers",4,2,2,"MONDAY",14,0,0,0,0,0,0,"Agriculture",0.295829150902655,0.285179904635822,"org spec account","block of flats","Panel","No",1,1,1,1,-515,0,0,0,0,2,0,0.0467,0.9831,0.7688,0.0036,0,0.1034,0.0833,0.125,NA,0.0227,0.0272,0,NA,0.0284,0.0485,0.7779,0.9831,0.0037,0,0.125,0.0284,0.0281,0.7719,0.1034,NA,0,NA,"org spec account",0.0277,0.125,0,0.9831,NA,0.0248,0.0833,0.0037,0.0485,0,NA,0.1034,0.7688,0.0278,NA
"77730",190118,0,"Cash loans","F","N","Y",1,121500,101880,10206,90000,"Family","Working","Secondary / secondary special","Married","House / apartment",0.008625,-17436,-816,-9493,-982,1,1,0,1,0,0,"Sales staff",3,2,2,"THURSDAY",16,0,0,0,0,0,0,"Self-employed",0.520098290317294,0.746300213050371,"","","","",0,0,0,0,-1180,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674631692919522
"240102",378038,0,"Cash loans","F","Y","N",1,180000,675000,34465.5,675000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.018634,-10895,-2364,-1852,-3077,1,1,1,1,1,0,"High skill tech staff",3,2,2,"THURSDAY",17,0,0,0,0,1,1,"Business Entity Type 2",0.726131493746393,0.349055251075182,"","block of flats","Stone, brick","No",0,0,0,0,-214,0,0,0,0,0,1,0.2678,0.9955,NA,NA,0.24,0.2069,0.375,NA,NA,NA,0.1838,NA,0.1575,0.2269,0.2779,NA,0.9955,NA,0.2417,NA,0.1916,0.2248,NA,0.2069,NA,NA,0.1608,"",0.1872,NA,0.24,0.9955,0.1667,NA,0.375,NA,0.2779,NA,NA,0.2069,NA,0.2227,0.421047123915907
"211319",344880,0,"Cash loans","F","N","N",0,135000,191880,18067.5,180000,"Unaccompanied","Pensioner","Secondary / secondary special","Married","House / apartment",0.030755,-20378,365243,-2239,-1902,1,0,0,1,0,0,"",2,2,2,"MONDAY",9,0,0,0,0,0,0,"XNA",0.544482897866194,0.558506627676929,"","","","",3,0,3,0,-410,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33604",138928,0,"Cash loans","M","N","Y",0,252000,1096020,56092.5,9e+05,"Unaccompanied","Pensioner","Secondary / secondary special","Married","House / apartment",0.011703,-21272,365243,-6246,-4622,1,0,0,1,0,1,"",2,2,2,"SUNDAY",10,0,0,0,0,0,0,"XNA",0.66650078255924,0.226347395709769,"","","","",0,0,0,0,-190,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548638210510105
"169539",296492,1,"Cash loans","M","N","N",0,180000,539100,29245.5,450000,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.072508,-10035,-539,-4438,-2715,1,1,1,1,1,0,"Drivers",1,1,1,"FRIDAY",13,0,0,0,0,0,0,"Business Entity Type 3",0.744582222270793,NA,"reg oper account","block of flats","Stone, brick","No",0,0,0,0,-1041,NA,NA,NA,NA,NA,NA,0.3193,0.9891,0.8504,0,0.4,0.2759,0.4583,0.5,0,0.2782,0.3321,0,0.1163,0.3477,0.3313,0.8563,0.9891,0,0.4028,0.5,0.3461,0.3445,0.8524,0.2759,0,0,0.1187,"reg oper account",0.3381,0.5,0.4,0.9891,0.1231,0.3039,0.4583,0,0.3313,0,0,0.2759,0.8504,0.3412,0.582500991244966
"129452",250149,1,"Cash loans","F","N","N",1,135000,529348.5,41953.5,490500,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.0228,-12326,-764,-6345,-3251,1,1,0,1,1,0,"Laborers",3,2,2,"SATURDAY",13,0,0,0,0,0,0,"Hotel",0.247766594360584,0.591976618318552,"reg oper account","block of flats","Stone, brick","No",2,0,1,0,0,0,0,0,0,0,2,0.0844,0.9767,0.6804,0.0102,0,0.1379,0.1667,0.2083,0.0313,0.0563,0.0627,0.027,0.0253,0.0777,0.0875,0.6929,0.9767,0.0102,0,0.2083,0.0654,0.077,0.6847,0.1379,0.0318,0.0272,0.0258,"reg oper account",0.0639,0.2083,0,0.9767,0.0267,0.0615,0.1667,0.0102,0.0875,0.027,0.0313,0.1379,0.6804,0.0763,0.336469677068644
"226308",362125,0,"Cash loans","F","N","Y",0,270000,373311,16573.5,283500,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.00702,-19984,-3868,-14118,-3328,1,1,0,1,1,0,"Core staff",1,2,2,"MONDAY",19,0,0,0,0,0,0,"Government",0.645188236054001,0.739411753552482,"reg oper account","block of flats","Panel","No",1,0,1,0,-1359,0,0,0,0,0,2,NA,0.9796,0.7212,NA,0,0.2759,0.1667,0.2083,NA,0.0958,0.1093,0.0039,NA,0.1208,NA,0.7321,0.9796,NA,0,0.2083,0.1139,0.1197,0.7249,0.2759,NA,0.0039,NA,"reg oper account",0.1112,0.2083,0,0.9796,NA,0.1047,0.1667,NA,NA,0.0039,NA,0.2759,0.7212,0.1186,0.900435696386655
"12113",114126,0,"Cash loans","F","N","Y",0,90000,101880,10053,90000,"Unaccompanied","Pensioner","Secondary / secondary special","Civil marriage","House / apartment",0.011703,-23694,365243,-6839,-4385,1,0,0,1,1,0,"",2,2,2,"FRIDAY",11,0,0,0,0,0,0,"XNA",0.658251093438726,0.694092642526666,"reg oper account","block of flats","Block","No",0,0,0,0,-475,0,0,0,0,0,3,0,0.9687,0.5716,0,0,0.0345,0.0417,0.0417,0.0178,0.0067,0.0083,0,0,0.0084,0,0.5884,0.9687,0,0,0.0417,0.0087,0.0083,0.5773,0.0345,0.0182,0,0,"reg oper account",0.0085,0.0417,0,0.9687,0,0.0073,0.0417,0,0,0,0.0178,0.0345,0.5716,0.0082,0.905411294554819
"234342",371453,1,"Cash loans","M","Y","N",1,90000,284400,22599,225000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.035792,-10183,-2193,-4260,-2839,1,1,0,1,0,0,"Accountants",3,2,2,"TUESDAY",10,0,0,0,0,1,1,"Industry: type 1",0.389068355659118,0.448962273107652,"","block of flats","Stone, brick","No",1,0,1,0,-508,0,0,0,0,0,0,NA,0.9776,NA,NA,NA,NA,0.0417,NA,NA,NA,0.0135,NA,NA,0.0168,NA,NA,0.9777,NA,NA,NA,0.0141,0.0167,NA,NA,NA,NA,NA,"",0.0138,NA,NA,0.9776,NA,NA,0.0417,NA,NA,NA,NA,NA,NA,0.0165,0.148431157666768
"59457",168919,0,"Cash loans","F","Y","Y",0,247500,1288350,41692.5,1125000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.018801,-13365,-639,-5268,-4044,1,1,0,1,0,0,"Accountants",2,2,2,"SUNDAY",9,0,0,0,0,1,1,"Business Entity Type 3",0.303835012408443,0.260855914206869,"","","","",8,1,8,1,-1689,0,0,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43199360861114
"48097",155700,1,"Cash loans","M","N","Y",1,247500,835380,40320,675000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.005144,-13454,-3862,-3695,-4191,1,1,0,1,1,0,"Laborers",3,2,2,"TUESDAY",13,0,0,0,0,0,0,"Transport: type 2",0.571094918866483,0.763639921457242,"reg oper account","block of flats","Stone, brick","No",2,0,2,0,-738,0,0,0,0,0,1,0.026,0.9776,0.694,0.0015,0,0.069,0.0417,0.0833,0.0045,0.0101,0.0103,0,0,0.0126,0.027,0.706,0.9777,0.0015,0,0.0833,0.0108,0.0125,0.6981,0.069,0.0046,0,0,"reg oper account",0.0105,0.0833,0,0.9776,0,0.011,0.0417,0.0015,0.027,0,0.0045,0.069,0.694,0.0124,0.338703351021348
"233012",369882,0,"Cash loans","F","N","Y",0,85500,808650,23773.5,675000,"Family","Working","Secondary / secondary special","Single / not married","House / apartment",0.035792,-23245,-3444,-10881,-4566,1,1,1,1,1,0,"Cleaning staff",1,2,2,"FRIDAY",15,0,0,0,0,0,0,"School",0.573845863830362,0.598926218256927,"","","","",0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.902951564282527
"128327",248849,0,"Cash loans","F","Y","Y",0,202500,1350000,39474,1350000,"Other_B","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.032561,-15484,-2248,-3841,-2388,1,1,0,1,0,0,"",1,1,1,"WEDNESDAY",17,0,0,0,0,0,0,"Business Entity Type 3",0.696209801700606,0.647976860330222,"reg oper account","block of flats","Stone, brick","No",3,0,3,0,-3031,0,0,0,2,0,1,0.0718,0.9791,0.7144,0.0141,0.08,0.069,0.3333,0.3333,0.0495,0.0269,0.111,0.027,0.0257,0.041,0.0745,0.7256,0.9791,0.0142,0.0806,0.3333,0.1156,0.0406,0.7182,0.069,0.0504,0.0272,0.0262,"reg oper account",0.113,0.3333,0.08,0.9791,0.0272,0.0294,0.3333,0.0142,0.0745,0.027,0.0495,0.069,0.7144,0.0402,0.443233771791605
"33929",139320,0,"Cash loans","F","N","Y",0,225000,722925,23890.5,549000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.035792,-19791,-6457,-6294,-3337,1,1,0,1,0,0,"Laborers",2,2,2,"WEDNESDAY",9,0,0,0,0,0,0,"Government",0.486720450964462,0.749021704846339,"","","","",0,0,0,0,-596,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193985",324938,0,"Cash loans","F","N","Y",2,67500,277969.5,13086,229500,"Unaccompanied","Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",0.022625,-11037,-398,-5538,-3700,1,1,0,1,0,0,"",4,2,2,"WEDNESDAY",13,0,0,0,0,0,0,"Other",0.652328670370541,0.406617436627504,"org spec account","block of flats","Monolithic","No",0,0,0,0,-891,0,0,0,0,0,1,0.0632,0.9776,0.694,0.0403,0.16,0.1379,0.3333,0.375,0.0098,0.121,0.1504,0,0.1014,0.1513,0.0656,0.706,0.9777,0.0407,0.1611,0.375,0.1567,0.1499,0.6981,0.1379,0.01,0,0.1035,"org spec account",0.1531,0.375,0.16,0.9776,0.1073,0.1322,0.3333,0.0407,0.0656,0,0.0098,0.1379,0.694,0.1485,0.519845930635401
"252323",391954,0,"Cash loans","M","N","Y",0,360000,597024,47299.5,540000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.025164,-11899,-136,-340,-4465,1,1,1,1,1,0,"Managers",2,2,2,"TUESDAY",11,0,0,0,0,0,0,"Trade: type 7",0.496295396113597,0.513693766303947,"reg oper account","block of flats","Mixed","No",0,0,0,0,-129,0,0,0,0,0,4,0.0538,0.9672,0.5512,0.0516,0,0.1379,0.0833,0.125,0.0188,0.0151,0.0326,0.0347,0.0404,0.0284,0.0558,0.5688,0.9672,0.0521,0,0.125,0.034,0.0281,0.5572,0.1379,0.0191,0.0349,0.0413,"reg oper account",0.0332,0.125,0,0.9672,0.0428,0.0165,0.0833,0.0521,0.0558,0.0347,0.0188,0.1379,0.5512,0.0278,NA
"32784",137992,0,"Cash loans","F","Y","N",0,112500,163008,17424,144000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.020713,-10465,-1434,-4405,-2469,1,1,0,1,0,0,"Cooking staff",2,3,2,"THURSDAY",6,0,0,0,0,0,0,"Business Entity Type 3",0.469485373565689,0.511891801533151,"reg oper spec account","block of flats","Panel","No",0,0,0,0,-606,0,0,0,0,0,1,0.0535,0.9851,0.796,0.0262,0.08,0.069,0.3333,0.375,0.0331,0.1194,0.0959,0,0,0.1492,0.0555,0.804,0.9851,0.0265,0.0806,0.375,0.1,0.1478,0.7987,0.069,0.0336,0,0,"reg oper spec account",0.0977,0.375,0.08,0.9851,0,0.1304,0.3333,0.0265,0.0555,0,0.0331,0.069,0.796,0.1464,0.45987174289394
"266829",409131,0,"Cash loans","F","N","N",0,180000,439740,21285,315000,"Family","State servant","Secondary / secondary special","Widow","House / apartment",0.020713,-23149,-957,-7323,-3440,1,1,0,1,0,0,"Cooking staff",1,3,3,"THURSDAY",8,0,0,0,0,0,0,"Kindergarten",0.370288090858348,0.304672183753353,"","","","",3,1,3,1,-1104,0,0,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647938661371936
"25149",129249,0,"Revolving loans","M","Y","Y",0,135000,180000,9000,180000,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","With parents",0.020246,-10603,-1623,-5109,-3271,1,1,0,1,0,0,"Drivers",1,3,3,"FRIDAY",11,0,0,0,1,1,0,"Business Entity Type 3",0.315502072508097,0.595456202909149,"","","","",0,0,0,0,-2124,0,0,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73040",184689,0,"Cash loans","M","Y","N",0,112500,776304,20605.5,648000,"Family","Working","Secondary / secondary special","Married","House / apartment",0.025164,-18704,-6926,-4450,-392,1,1,0,1,0,0,"Drivers",2,2,2,"THURSDAY",9,0,0,0,0,1,1,"Trade: type 3",0.631645838243291,NA,"","block of flats","Panel","No",0,0,0,0,-4,0,0,0,0,0,0,NA,0.9702,NA,NA,0,0.1724,0,NA,NA,NA,0.0071,NA,0,0.021,NA,NA,0.9702,NA,0,NA,0.0074,0.0208,NA,0.1724,NA,NA,0,"",0.0072,NA,0,0.9702,0,NA,0,NA,NA,NA,NA,0.1724,NA,0.0206,NA
"174063",301713,0,"Revolving loans","F","Y","N",2,112500,270000,13500,270000,"Unaccompanied","Working","Higher education","Married","With parents",0.019101,-12669,-3261,-6724,-4464,1,1,0,1,0,0,"",4,2,2,"WEDNESDAY",16,0,0,0,0,0,0,"Medicine",0.722274883596045,0.554946768533432,"reg oper account","block of flats","Stone, brick","No",0,0,0,0,-676,0,0,0,1,1,0,0.1037,0.9871,0.8232,0.0248,0,0.2414,0.1667,0.2083,0.0216,0.066,0.0886,0.0019,0.0097,0.0504,0.0708,0.8171,0.9861,0.0111,0,0.2083,0.0519,0.0822,0.8256,0.2414,0.0219,0.0019,0.0099,"reg oper account",0.0902,0.2083,0,0.9871,0,0.0441,0.1667,0.0111,0.0708,0.0019,0.0216,0.2414,0.8232,0.0814,NA
"277788",421837,0,"Cash loans","F","Y","Y",1,225000,1928304,79708.5,1800000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","House / apartment",0.018801,-14004,-5684,-7711,-4217,1,1,0,1,0,0,"Core staff",3,2,2,"FRIDAY",8,0,0,0,0,0,0,"Medicine",0.534029820804269,0.605836264726423,"reg oper account","block of flats","Panel","No",1,0,1,0,-2536,0,0,0,0,1,4,0.1308,0.9891,0.8504,0.1426,0.24,0.2069,0.375,0.4167,0.3242,0.2017,0.2621,0,0,0.2521,0.1357,0.8563,0.9891,0.1439,0.2417,0.4167,0.2731,0.2498,0.8524,0.2069,0.3299,0,0,"reg oper account",0.2669,0.4167,0.24,0.9891,0,0.2204,0.375,0.1439,0.1357,0,0.3242,0.2069,0.8504,0.2474,NA
"91976",206810,0,"Revolving loans","F","N","N",0,90000,270000,13500,270000,"Unaccompanied","Working","Higher education","Single / not married","Rented apartment",0.009175,-9145,-472,-3584,-1801,1,1,0,1,1,0,"",1,2,2,"THURSDAY",18,0,0,0,1,1,0,"Business Entity Type 3",0.656349731805331,NA,"","block of flats","Panel","No",3,1,3,1,-178,NA,NA,NA,NA,NA,NA,0,0.9811,NA,NA,0,0.1034,0.0833,NA,NA,NA,NA,NA,NA,0.0305,0,NA,0.9811,NA,0,NA,NA,0.0302,NA,0.1034,NA,NA,NA,"",NA,NA,0,0.9811,NA,NA,0.0833,NA,0,NA,NA,0.1034,NA,0.0299,NA
"230635",367144,0,"Cash loans","F","N","Y",0,90000,239850,23494.5,225000,"Unaccompanied","Pensioner","Secondary / secondary special","Married","House / apartment",0.030755,-24634,365243,-4223,-4210,1,0,0,1,0,0,"",2,2,2,"SUNDAY",14,0,0,0,0,0,0,"XNA",0.65540210236337,0.6512602186973,"","","","No",0,0,0,0,-811,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230114",366533,1,"Cash loans","M","Y","Y",1,135000,497520,53712,450000,"Unaccompanied","Commercial associate","Lower secondary","Married","House / apartment",0.008068,-13063,-2400,-475,-1193,1,1,0,1,0,0,"Laborers",3,3,3,"MONDAY",7,0,0,0,0,0,0,"Business Entity Type 3",0.386820087943783,0.792264473866938,"reg oper account","block of flats","","No",0,0,0,0,-2021,0,0,0,1,0,0,NA,0.9851,0.796,NA,NA,0.1379,0.3333,NA,NA,NA,NA,NA,NA,0.1261,NA,0.804,0.9851,NA,NA,NA,NA,0.1249,0.7987,0.1379,NA,NA,NA,"reg oper account",NA,NA,NA,0.9851,NA,NA,0.3333,NA,NA,NA,NA,0.1379,0.796,0.1237,NA
